
#怪兽卡,卡片ID,卡名Name,属性Attributes,等级Lv,战力Atk,羁绊Link,羁绊描述LinkDescription,类型Effect/Judge,効果/判定描述mainDescription
monster,10000012,精霊竜,木,4,6,自然再生,①：自分のターン終了時に、自分はデッキからカードを1枚引く。その後、手札からカードを1枚選んでデッキに戻す。,効果Effect,①：このカードが戦闘を行うときに発動できる。お互いのメインバトルゾーンに存在する「木」系モンスター1体につき、このカードのコントローラーは2ポイントのライフを回復する。
monster,10000013,火蛾の巫女,火,3,3,灼焔,①：この絆を持つモンスターが破られたとき、それを破った相手のモンスターに、その相手モンスターの元の戦力分のダメージを与える。,判定Judge,①：このカードがめくれたとき、自分フィールドのモンスター1体を選び、その戦力を+2する。
monster,10000014,深淵焔竜,土,4,5,炼狱,①：双方のフィールドに「火」系モンスターが1体存在するごとに、この絆を持つモンスターの戦力が+1される。,効果Effect,①：このカードが攻撃を宣言したとき、このカードは「火」系としても扱うことができる。②：戦闘でこのカードが相手モンスターを破壊したとき、このカードの戦力を+1することができる。
monster,10000015,夜刀姫,火,5,7,陽炎,①：自分の場に「陽炎」モンスターが1体存在するごとに、この絆を持つモンスターの戦力が+1される。,判定Judge,①：このカードがめくれたとき、以下の効果を適用する。●自分のターンであれば、自分は両プレイヤーのフィールドに存在する「火」系モンスターの総数×5ライフを回復する。●相手のターンであれば、両プレイヤーは両フィールドの「火」系モンスターの総数×5ポイントのダメージを受ける。
monster,10000016,天空の神官,金,3,4,璀璨光辉,①：この絆を持つモンスターの数値は、自分フィールド上にいるモンスターの数だけ上昇する。,效果Effect,①：このカードは、フィールド上のモンスター1体（自分または相手のもの）を対象として発動できる。このターンの間、このカードは対象に選んだカードとしても扱われ、対象カードの絆・属性・効果もこのカードに適用される。
monster,10000017,念仏豚,土,3,5,腐化,①：相手フィールド上のすべてのモンスターの戦力が-2される。,効果Effect,①：相手モンスターの効果が適用されるときに発動できる。自分のデッキの上から3枚のカードをめくる。その後、それらのカードを自分の好きな順番に並べ替え、裏向きのままデッキの一番下に戻す。
monster,10000018,蓮華童子,木,5,6,風林,①：自分の手札が相手より多い場合、この絆を持つモンスターの戦力はその差分だけ上昇する。②：自分の手札の上限が9枚になる。,効果Effect,①：このカード以外の自分フィールドの「木」系モンスター1体をリリースして発動できる。以下の効果から1つを選んで適用する。自分のライフポイントが10未満の場合、以下の効果はすべて適用される。●自分はデッキから2枚ドローする。その後、手札1枚を選んでデッキに戻す。●自分のライフポイントを10回復する。●相手ターン終了時まで、このカードの戦力は+6される。●自分の墓地からカード1枚を選んで手札に加える。
monster,10000019,ゼリースライム,水,1,1,生命の源泉,①：相手がモンスターの効果を発動したとき、または判定効果の処理を行うときに適用される。自分のライフは、自分フィールド上のモンスターの数分回復する。,判定Judge,①：このカードがめくられたとき、相手フィールドのすべてのモンスターの戦力を2下げる。
monster,10000020,炎鬼磐蟹,火,4,6,陽炎,①：自分の場に「陽炎」モンスターが1体存在するごとに、この絆を持つモンスターの戦力が+1される。,判定Judge,①：このカードがめくられたとき、相手フィールドのうちレベルが最も低いモンスター1体を選ぶ。このカードとそのモンスターの戦力を比較し、このカードの戦力が高ければそのモンスターを破壊する。
monster,10000021,神眷の子,金,5,8,璀璨光辉,①：この絆を持つモンスターの数値は、自分フィールド上にいるモンスターの数だけ上昇する。,判定Judge,①：このカードがめくられたとき、自分はデッキから5枚ドローする。その中にモンスターカードがあった場合、それらのモンスターカードをデッキに戻し、デッキをシャッフルする。その後、以下の効果のうち1つを選んで適用する。●戻した枚数と同じ枚数のカードを自分の墓地から選び、デッキに戻す。●戻した枚数と同じ枚数の魔法カードを自分の墓地から選び、手札に加える。
monster,10000022,薬穂羊,木,3,4,自然再生,①：自分のターン終了時に、自分はデッキからカードを1枚引く。その後、手札からカードを1枚選んでデッキに戻す。,効果Effect,①：このカードが召喚に成功したときに発動できる。●フィールド上の両プレイヤーの「木」系モンスターの合計数が奇数の場合、自分の墓地から魔法カードを2枚選んでデッキに戻す。●フィールド上の両プレイヤーの「木」系モンスターの合計数が偶数の場合、自分の墓地から魔法カードを1枚選んで手札に加える。
monster,10000023,夢尾鮫,水,3,3,生命の源泉,①：相手がモンスターの効果を発動したとき、または判定効果の処理を行うときに適用される。自分のライフは、自分フィールド上のモンスターの数分回復する。,効果Effect,①：このカード以外の自分フィールドの「水」系モンスターが存在する場合に発動できる。自分はフィールド上の自分の「水」系モンスターの数だけライフポイントを回復し、同じ数だけ相手にダメージを与える。
monster,10000024,血魔剣・覇王,土,5,5,炼狱,①：双方のフィールドに「火」系モンスターが1体存在するごとに、この絆を持つモンスターの戦力が+1される。,効果Effect,①：このカードの戦力は、相手フィールドのモンスターの数だけ上がる。②：このカードは相手のカードの効果の影響を受けない。③：すべての自分フィールドの「火」系モンスターの戦力は1上がる。
monster,10000025,気象人形,木,1,1,風林,①：自分の手札が相手より多い場合、この絆を持つモンスターの戦力はその差分だけ上昇する。②：自分の手札の上限が9枚になる。,効果Effect,①：このカードが召喚に成功したときに発動できる。自分はデッキから1枚ドローする。

#咒术卡,卡片ID,卡名Name,呪術描述MagicDescription,重ねる描述StackDescription
spell,10000026,潮騒のアリア,①：自分のデッキの一番上のカード1枚を表向きに公開して墓地へ送る。その後、自分はデッキから1枚ドローする。公開して墓地へ送ったカードが「水」系モンスターだった場合、自分はそのモンスターの戦力分ライフポイントを回復する。,①：自分のドローフェイズにおける通常のドローが1枚増える。そのドローが行われた後、手札から1枚を選んでデッキの一番上に戻す。
spell,10000027,金光の念珠,①：自分は手札のモンスター1体を捨てる。相手のターン終了時まで、捨てたモンスターと同じ属性を持つ自分フィールドのモンスターは戦力が+3される。,①：このカードに重ねられているモンスターが破壊される場合、代わりにこのカードを墓地へ送ることができる。
spell,10000028,自然の窺い,①：自分の墓地からモンスター1体を選び、手札に加える。,①：このカードに重ねられているモンスターをリリースする。自分はそのモンスターの元々の攻撃力分ライフポイントを回復する。その後、自分の墓地から「木」系モンスター1体を選び、手札に加える。
spell,10000029,烈火の波動,①：自分フィールドの「火」系モンスター1体を対象として選ぶ。選んだそのモンスター以外の自分フィールドのモンスターは、その選んだモンスターの戦力の半分だけ、このターン終了時まで戦力が上昇する。,①：このカードにオーバーレイされている「火」系モンスターの戦力は+3される。
spell,10000030,聖墟の霊枝,①：自分の墓地からモンスター3体を選び、デッキに戻す。その後、自分はデッキから1枚ドローする。,①：このカードにオーバーレイされている「木」系モンスターが戦闘で破壊された場合、そのモンスターをデッキに戻す、その戦闘による自分への戦闘ダメージは無効化される。さらに、この効果が適用された場合、次の自分のドローフェイズの通常ドローが1枚増える。
spell,10000031,死炎の爆破,①：自分の主戦区の基礎戦力が5以下のモンスター1体を対象に取る。以下の効果を適用する。●このターン、そのモンスターの戦力は2倍になり、このカード以外のカードの効果を受けない。●相手ターン終了時に、そのモンスターを破壊し、自分はそのモンスターの基礎戦力と同じ数値のダメージを受ける。,①：このカードに重ねられているモンスターが破壊されたとき、両プレイヤーはそのモンスターの戦力と同じ数値のダメージを受ける。そのモンスターが「火」系モンスターである場合、相手が受けるダメージは2倍になる。
spell,10000032,天雷閃,①：手札から「金」系モンスター1体を捨て、相手の場のモンスター1体を選んで破壊する。破壊されたモンスターの戦力が捨てたモンスターの戦力より高い場合、自分はその差分と同じ数値のダメージを受ける。,①：このカードに重ねられた「金」系モンスターが相手のモンスターを撃破したとき、そのモンスターの戦力が+5され、効果は3ターン続く。
spell,10000033,輪付聖貨,①：手札からカード1枚を捨て、フィールド上のモンスター1体を対象にして、デッキからモンスター1体を選びそのモンスターの下に重ねる。この効果が適用されたモンスターは、重ねられたモンスターの「絆」を得る。,①：このカードの戦力は、このカードに重ねられているカードの枚数分だけ上昇する。
spell,10000034,治癒の雫,①：自分のライフを5回復する。,①：このカードに重ねられているレベル2以下の水属性モンスターの戦力が+5される。
spell,10000035,転移指令,①：以下の効果から1つを選択して適用する。●自分の備戦区域にいるモンスター1体と自分の主戦区域にいるモンスター1体を入れ替える。●自分の主戦区域にいるモンスター2体の位置を互いに入れ替える。,①：このカードは、重ねられているモンスターが戦闘を行う時に発動できる。以下の効果から1つを選んで適用する。●このカードを、自分の主戦区域でモンスターのいない区画に移動する。●このカードと、自分の主戦区域にいる他のモンスター1体と位置を交換する。
