
#怪兽卡,卡片ID,卡名Name,属性Attributes,等级Lv,战力Atk,羁绊Link,羁绊描述LinkDescription,类型Effect/Judge,效果/判定描述mainDescription
monster,10000011,金羽枭,金,2,3,废料回收,①：这个羁绊的怪兽击败对方怪兽时，可以从我方的弃牌堆选择1只等级低于3的金系怪兽加入手卡。,效果Effect,①：可以将我方场上1张处于叠放状态的怪兽的1张叠放的卡送去弃牌堆发动。选我方场上1只怪兽，从卡组/弃牌堆选1张咒术卡在那只怪兽下面叠放。
monster,10000012,精灵龙,木,4,6,自然再生,①：每次我方回合结束时，我方从卡组抽1张。那之后，选1张手卡回到卡组。,效果Effect,①：这张卡进行战斗时可以发动。双方主战区域每存在1只木系怪兽，这张卡的控制者回复2点生命。
monster,10000013,火蛾罗巫女,火,3,3,焚炎火,①：这个羁绊的怪兽被击败时，给与对方那只怪兽的原本战力伤害。,判定Judge,①：这张卡被翻开时，选我方场上1只怪兽的战力+2。
monster,10000014,浅渊霸炎龙,土,4,5,炼狱,①：双方场上每有1只火系怪兽存在，这个羁绊的怪兽战力+1。,效果Effect,"①：这张卡攻击时，也可以当作火系怪兽。②：这张卡击败对方怪兽时可以发动。这张卡的战力+1。"
monster,10000015,夜刀侍 千姬,火,5,7,阳炎,①：我方场上每存在1只【阳炎】怪兽，这个羁绊的怪兽战力+1。,判定Judge,"①：这张卡被翻开时，以下效果适用。●我方回合，我方生命回复双方场上每只火系怪兽数量×5点生命。●对方回合，给与双方场上每只火系怪兽数量×5点伤害。"
monster,10000016,天空的神官,金,3,4,璀璨光辉,①：这个羁绊的怪兽上升我方场上所有怪兽数量的数值。,效果Effect,①：可以选双方场上1只怪兽为对象发动。这个回合，这张卡也当作那张卡使用。那张卡的羁绊/属性/效果也能适用。
monster,10000017,念佛猪,土,3,5,腐化,①：对方场上所有怪兽的战力-2。,效果Effect,①：对方的怪兽效果适用时可以发动。自己卡组最上面的卡3张卡翻开。那之后，按自己喜欢的顺序进行排列洗回卡组最下面。
monster,10000018,莲花童子,木,5,6,风林,"①：当我方手卡比对方多时，这个羁绊的怪兽的战力上升那个差值。②：我方手卡上限变成9张。",效果Effect,"①：可以解放这张卡以外我方场上1只木系怪兽发动。选以下1项适用。若我方生命低于10时，则以下效果全部适用。●我方从卡组抽2张。那之后，选1张手卡回到卡组。●我方生命回复10点。●直到对方回合结束时，这张卡的战力+6。●从我方的弃牌堆选1张卡加入手卡。"
monster,10000019,胶果冻,水,1,1,生命源泉,①：对方发动怪兽效果时或进行判定效果处理时适用。我方生命回复我方场上所有怪兽数量的数值。,判定Judge,①：这张卡被翻开时，对方场上全部怪兽战力-2。
monster,10000020,炎鬼磐蟹,火,4,6,阳炎,①：我方场上每存在1只【阳炎】怪兽，这个羁绊的怪兽战力+1。,判定Judge,①：这张卡被翻开时，这张卡与对方场上等级最低的1只怪兽拼点，若这张卡的战力更高，则将那只怪兽破坏。
monster,10000021,神眷之子,金,5,8,璀璨光辉,①：这个羁绊的怪兽上升我方场上所有怪兽数量的数值。,判定Judge,"①：这张卡被翻开时，我方从卡组抽5张。若其中有怪兽卡，则那些怪兽卡回到卡组并进行洗切。那之后，可以选择以下1项适用。●从我方的弃牌堆选回到卡组数量的卡回到卡组。●从我方的弃牌堆选回到卡组数量的咒术卡加入手卡。"
monster,10000022,药穗羊,木,3,4,自然再生,①：每次我方回合结束时，我方从卡组抽1张。那之后，选1张手卡回到卡组。,效果Effect,"①：这张卡召唤成功时可以发动。以下效果适用。●双方场上的木系怪兽数量为单数时，选自己弃牌堆的2张咒术卡回到卡组。●双方场上的木系怪兽数量为双数时，选自己弃牌堆的1张咒术卡加入手卡。"
monster,10000023,梦尾鲛,水,3,3,生命源泉,①：对方发动怪兽效果时或进行判定效果处理时适用。我方生命回复我方场上所有怪兽数量的数值。,效果Effect,①：我方场上有这张卡以外的水系怪兽存在时可以发动。我方生命回复我方场上水系怪兽数量的数值，并给与对方相同数值的伤害。
monster,10000024,血魔剑 霸王,土,5,5,炼狱,①：双方场上每有1只火系怪兽存在，这个羁绊的怪兽战力+1。,效果Effect,"①：这张卡的战力上升对方场上怪兽数量的数值。②：这张卡不受对方的卡的效果的影响。③：我方场上的火系怪兽战力+1。"
monster,10000025,气象娃娃,木,1,1,风林,"①：当我方手卡比对方多时，这个羁绊的怪兽的战力上升那个差值。②：我方手卡上限变成9张。",效果Effect,①：这张卡召唤成功时可以发动。我方从卡组抽1张。
,,,,,,,,,,
#咒术卡,卡片ID,卡名Name,咒术描述MagicDescription,叠放描述StackDescription
spell,10000026,潮涌的咏叹调,①：展示我方卡组最上面的1张卡并送去弃牌堆。那之后，我方从卡组抽1张。若送去弃牌堆的卡为水系怪兽时，则我方生命回复那只怪兽的战力的数值。,①：我方抽卡阶段的通常抽卡额外多抽1张卡。那之后，选1张手卡回到卡组最上面。,,,,,
spell,10000027,金光佛珠,①：从手卡丢弃1只怪兽，直到对方回合结束时，我方场上与丢弃的怪兽属性相同的怪兽的战力+3。,①：这张卡叠放的怪兽被击败或破坏时，可以将这张卡送去弃牌堆作为代替。,,,,,
spell,10000028,窥视自然,①：从我方的弃牌堆选1张怪兽加入手卡。,①：将这张卡叠放的怪兽解放，我方回复那只怪兽原本战力的数值的生命。那之后，选我方弃牌堆1只木系怪兽加入手卡。,,,,,
spell,10000029,烈焰波动,①：选我方场上1只火系怪兽为对象，这个回合，那只怪兽以外的我方场上的怪兽的战力上升那只怪兽的战力一半的数值。,①：这张卡叠放的火系怪兽战力+3。,,,,,
spell,10000030,圣墟的灵枝,①：从我方的弃牌堆选3只怪兽回到卡组。那之后，我方从卡组抽1张。,①：这张卡叠放的木系怪兽被击败时，那只怪兽回到卡组，我方不会受到那次的战斗伤害。这个效果适用后，下次我方抽卡阶段的通常抽卡额外多抽1张卡。,,,,,
spell,10000031,死炎爆破,"①：选我方主战区域1只原本战力5以下的怪兽为对象，以下效果适用。●这个回合，那只怪兽的战力变成2倍，不受这张卡以外的卡的效果影响。●对方回合结束时，那只怪兽破坏，我方受到那只怪兽的原本战力的数值伤害。,①：这张卡叠放的怪兽被击败时，双方玩家受到那只怪兽的战力的数值伤害。若这张卡叠放的怪兽为火系怪兽时，则对方受到的伤害翻倍。,,,,,
spell,10000032,天雷闪,①：从手卡丢弃1只金系怪兽，选对方场上1只怪兽破坏。若被破坏的怪兽的战力比丢弃的那只怪兽的战力高，则我方受到那个差值的伤害。,①：这张卡叠放的金系怪兽击败对方怪兽时，那只怪兽的战力+5，持续3回合。,,,,,
spell,10000033,衔环圣币,①：从手卡丢弃1张卡，以场上1只怪兽为对象，从卡组选1只怪兽在那只怪兽的下面叠放。这个效果适用的那只怪兽，得到叠放怪兽的羁绊。,①：根据这张卡叠放的怪兽类型，得到以下效果。●效果：这张卡的效果每个回合可以发动这张卡叠放的卡的数量的次数。●判定：这张卡的战力上升这张卡叠放的卡的数量的数值。",,,,,
spell,10000034,治愈水滴,①：回复5点生命。,①：这张卡叠放的等级2以下的水系怪兽战力+5。,,,,,
spell,10000035,位移指令,"①：以下效果选择1个适用。●选择我方备战区域的1只怪兽与主战区域的1只怪兽交换位置。●选我方主战区域的2只怪兽相互交换位置。,①：这张卡叠放怪兽进行战斗时可以发动。以下效果选1个适用。●这张卡移动到我方主战区域没有怪兽的区域。●这张卡与我方主战区域1只其他怪兽交换位置。",,,,,
